name;subsystem_id
Alinhamento e balanceamento;Rodas e pneus
Calibrar Pneus;Rodas e pneus
Filtro de arla direção;Motor
Limpeza de Bicos e Unidades Injetoras;Motor
limpeza de bicos Injeção eletrônica;Motor
Revisão Geral;Motor
Revisão Suspensão;Suspensão
Revisar Filtro de Ar;Arrefecimento
Rodizio de pneus;Rodas e pneus
Troca completa do óleo de cambio;Motor
Troca Correia dentada;Motor
Troca de filtro de ar;Motor
Troca de filtro diesel;Motor
Troca de filtro do diferencial;Motor
Troca de filtro racor;Motor
Troca de pneus;Rodas e pneus
Troca filtro de combustivel;Motor
Troca óleo caixa de cambio;Motor
Troca óleo do motor;Motor
Troca óleo sintético;Motor
Trocar filtro da cabine;Funilaria
Trocar filtro de óleo;Motor
Trocar filtro diesel;Motor
Trocar filtro lubrificante;Motor
Trocar filtro racor;Motor
Trocar Lonas de freio;Freios
Trocar Óleo de Câmbio;Motor
Trocar Óleo de Motor;Motor
Trocar Óleo Diferencial;Motor
Trocar óleo do cambio;Transmissão
Trocar óleo do diferencial;Transmissão
Trocar palhetas do para-brisa;Funilaria
Verificar Ar-condicionado;Arrefecimento
Verificar Arrefecimento;Arrefecimento
Verificar bomba d'água;Motor
Verificar compressão do motor;Motor
Verificar compressor de ar;Motor
Verificar erguedor de eixo;Suspensão
Verificar Escapamento;Escape
Verificar iluminação e sinalização;Iluminação
Verificar Lonas de freio;Freios
Verificar Pastilha de freio;Freios
Verificar pneus;Rodas e pneus
Verificar pólos da bateria;Armazenamento elétrico
Verificar unidade injetora;Motor
